,place_id,licence,osm_type,osm_id,lat,lon,class,type,place_rank,importance,addresstype,name,display_name,boundingbox
0,410033620,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,2697338,-22.9110137,-43.2093727,boundary,administrative,16,0.7734942754270069,municipality,Rio de Janeiro,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Southeast Region, Brazil","['-23.0827051', '-22.7460878', '-43.7962520', '-43.0990811']"
1,9612474,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,57963,-22.2752762,-42.4194150,boundary,administrative,8,0.6856074615696454,state,Rio de Janeiro,"Rio de Janeiro, Southeast Region, Brazil","['-23.6926879', '-20.7632055', '-44.8893206', '-40.6296322']"
2,412667099,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,7902476,12.9767936,77.5900820,boundary,administrative,14,0.6492415344580502,city,Bengaluru,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India","['12.8336251', '13.1426598', '77.4600507', '77.7843613']"
3,205269047,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,912999,39.3032619,117.4163641,boundary,administrative,8,0.6831736920183962,state,Tianjin,"Tianjin, China","['36.5714411', '40.2520111', '113.7283040', '118.0586744']"
4,205587436,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,244082077,39.0844897,117.1956724,place,city,16,0.6831736920183962,city,Tianjin,"Tianjin, Hexi District, Tianjin, 300061, China","['38.9244897', '39.2444897', '117.0356724', '117.3556724']"
5,227750165,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,1886594378,31.5656822,74.3141829,place,city,16,0.6493044815255297,city,Lahore,"Lahore, Lahore City Tehsil, Lahore District, Lahore Division, Punjab, 54500, Pakistan","['31.4056822', '31.7256822', '74.1541829', '74.4741829']"
6,320804031,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,158529773,38.1987457,-77.9694418,place,hamlet,20,0.2101211695597586,hamlet,Lahore,"Lahore, 201 District, Orange County, Virginia, United States","['38.1787457', '38.2187457', '-77.9894418', '-77.9494418']"
7,218919821,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,3287346,23.1301964,113.2592945,boundary,administrative,10,0.6964309508442346,city,Guangzhou City,"Guangzhou City, Guangdong, China","['22.5607701', '23.9359940', '112.9523727', '114.0552990']"
8,240075643,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,103703,14.5904492,120.9803621,boundary,administrative,12,0.698962501067567,city,Manila,"Manila, Capital District, Metro Manila, Philippines","['14.5508249', '14.6395473', '120.7917034', '121.0261672']"
9,309987550,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,6698725,35.8800733,-90.1670393,boundary,administrative,16,0.4165111676933445,village,Manila,"Manila, Mississippi County, Arkansas, United States","['35.8609847', '35.9091651', '-90.2021930', '-90.1414706']"
10,304253363,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,198910,40.9880142,-109.7226490,boundary,administrative,16,0.39975230389936584,town,Manila,"Manila, Daggett County, Utah, 84046, United States","['40.9847776', '40.9982381', '-109.7351736', '-109.7085397']"
11,409588562,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,1224652,-34.6095579,-58.3887904,boundary,administrative,16,0.7722578508053152,city,Buenos Aires,"Buenos Aires, Comuna 1, Autonomous City of Buenos Aires, Argentina","['-34.7058155', '-34.5265535', '-58.5314504', '-58.3351423']"
12,17314592,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,1632167,-36.3789925,-60.3855889,boundary,administrative,8,0.6647137318929621,state,Buenos Aires,"Buenos Aires, Argentina","['-41.0383393', '-33.2616119', '-63.3927431', '-56.6650604']"
13,285858991,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,6268475,9.0800192,-83.2292507,boundary,administrative,12,0.4268557300244847,county,Buenos Aires,"Buenos Aires, Puntarenas Province, Costa Rica","['8.7752874', '9.3847047', '-83.5635853', '-82.9475716']"
14,285238342,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,1717031,3.0165467,-76.6406849,boundary,administrative,12,0.39948960698892766,town,Buenos Aires,"Buenos Aires, Norte, Cauca, RAP Pacífico, Colombia","['2.8709234', '3.1289321', '-76.6875100', '-76.5523779']"
15,397288177,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,9381363,22.5726459,88.3638953,boundary,administrative,14,0.6796576594781097,city,Kolkata,"Kolkata, West Bengal, India","['22.4520292', '22.6188255', '88.2336280', '88.4610776']"
16,397288175,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,10371838,22.5354262,88.3633146,boundary,administrative,10,0.48866376530989286,state_district,Kolkata,"Kolkata, West Bengal, India","['22.4520292', '22.6188255', '88.2336280', '88.4610776']"
17,399441014,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,1882099475,41.0119236,28.9754666,place,city,16,0.7731608339162855,city,Istanbul,"Istanbul, Fatih, Istanbul, Marmara Region, 34110, Turkey","['40.8519236', '41.1719236', '28.8154666', '29.1354666']"
18,53539178,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,223474,41.0576091,29.3156426,boundary,administrative,8,0.594109274090261,province,Istanbul,"Istanbul, Marmara Region, Turkey","['40.7376735', '41.6710000', '27.9708481', '29.9588048']"
19,223472130,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,913069,30.0551800,107.8748712,boundary,administrative,8,0.689868051318201,state,Chongqing,"Chongqing, China","['28.1617440', '32.2036631', '105.2868306', '110.1944429']"
20,222579052,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,244081989,30.8101669,108.4034084,place,city,16,0.5095756468039155,city,Wanzhou,"Wanzhou, Chongqing, 404000, China","['30.6501669', '30.9701669', '108.2434084', '108.5634084']"
21,407366051,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,358674,34.6937569,135.5014539,boundary,administrative,14,0.7298219728348557,city,Osaka,"Osaka, Osaka Prefecture, Japan","['34.5861540', '34.7688490', '135.3099784', '135.5991702']"
22,248303380,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,341906,34.6198813,135.4903570,boundary,administrative,8,0.7206114049244913,province,Osaka Prefecture,"Osaka Prefecture, Japan","['34.2718210', '35.0512930', '135.0258879', '135.7466030']"
23,418232481,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,7888990,19.0549990,72.8692035,boundary,administrative,16,0.7097856287700112,city,Mumbai,"Mumbai, Mumbai Suburban, Maharashtra, India","['18.8939566', '19.2694771', '72.7763330', '72.9817485']"
24,203431086,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,912940,40.1906320,116.4121440,boundary,administrative,8,0.7882009462753077,state,Beijing,"Beijing, China","['39.1707096', '41.0595584', '115.4172086', '117.7371243']"
25,204939762,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,25248662,39.9057136,116.3912972,place,city,15,0.7882009462753077,city,Beijing,"Beijing, Dongcheng District, Beijing, 100010, China","['39.7457136', '40.0657136', '116.2312972', '116.5512972']"
26,286222337,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,1376330,19.3207722,-99.1514678,boundary,administrative,8,0.7709947704767882,state,Mexico City,"Mexico City, Mexico","['19.0487187', '19.5927573', '-99.3649242', '-98.9403028']"
27,402732441,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,17483459,19.4326296,-99.1331785,boundary,administrative,16,0.7709947704767882,city,Mexico City,"Mexico City, Cuauhtémoc, Mexico City, Mexico","['19.2419543', '19.5796926', '-99.3150003', '-98.9750504']"
